500		294.715	294.696	293.725	292.774	291.760	290.682	289.533	288.300	285.976	284.588	283.077	281.488	279.775	277.947	276.006	273.948	271.769	269.455	266.985	264.410	261.678	258.802	255.789	252.639	249.342	245.900	241.342	237.643	233.815	229.876	225.840	220.724	216.549	212.348	207.180	203.138	198.399	194.339
26.0	19.091	19.088	18.943	18.800	18.650	18.492	18.325	18.150	18.331	18.135	17.929	17.712	17.483	17.242	16.988	16.721	16.439	16.142	15.830	15.501	15.155	14.792	14.410	14.009	13.590	13.153	13.006	12.527	12.034	11.529	11.015	10.738	10.200	 9.663	 9.307	 8.741	 8.270	 7.610
27.0	19.464	19.461	19.314	19.171	19.020	18.861	18.693	18.517	18.690	18.493	18.286	18.068	17.838	17.595	17.340	17.070	16.787	16.488	16.173	15.842	15.493	15.126	14.740	14.335	13.911	13.468	13.306	12.819	12.316	11.800	11.272	10.974	10.420	 9.864	 9.484	 8.899	 8.411	 7.751
28.0	19.829	19.825	19.678	19.534	19.382	19.222	19.054	18.876	19.036	18.839	18.631	18.412	18.181	17.937	17.680	17.410	17.125	16.824	16.507	16.173	15.822	15.451	15.062	14.653	14.224	13.774	13.596	13.102	12.590	12.063	11.523	11.204	10.634	10.060	 9.657	 9.054	 8.549	 7.888
29.0	20.179	20.175	20.028	19.883	19.731	19.570	19.401	19.223	19.366	19.168	18.960	18.740	18.508	18.264	18.006	17.735	17.448	17.146	16.827	16.492	16.138	15.765	15.372	14.959	14.525	14.071	13.875	13.374	12.854	12.317	11.766	11.425	10.841	10.251	 9.824	 9.205	 8.683	 8.019
30.0	20.510	20.507	20.358	20.214	20.061	19.901	19.731	19.553	19.676	19.478	19.270	19.050	18.818	18.573	18.315	18.043	17.755	17.452	17.132	16.795	16.439	16.064	15.668	15.252	14.814	14.355	14.141	13.634	13.107	12.561	11.999	11.636	11.039	10.434	 9.984	 9.349	 8.810	 8.143
31.0	20.820	20.816	20.668	20.524	20.371	20.211	20.042	19.864	19.967	19.769	19.561	19.341	19.109	18.865	18.606	18.333	18.045	17.742	17.421	17.082	16.725	16.348	15.950	15.531	15.090	14.627	14.395	13.882	13.348	12.794	12.223	11.838	11.228	10.609	10.135	 9.487	 8.929	 8.260
32.0	21.108	21.104	20.957	20.813	20.660	20.500	20.332	20.154	20.237	20.040	19.833	19.613	19.382	19.137	18.879	18.606	18.318	18.014	17.693	17.353	16.995	16.616	16.217	15.795	15.351	14.885	14.635	14.118	13.578	13.016	12.435	12.030	11.408	10.775	10.279	 9.617	 9.042	 8.367
33.0	21.374	21.371	21.224	21.080	20.928	20.769	20.601	20.424	20.488	20.292	20.085	19.866	19.636	19.392	19.134	18.862	18.574	18.270	17.948	17.608	17.249	16.870	16.469	16.045	15.599	15.129	14.863	14.341	13.795	13.227	12.638	12.212	11.579	10.933	10.415	 9.739	 9.146	 8.466
34.0	21.619	21.616	21.469	21.327	21.176	21.017	20.850	20.674	20.720	20.525	20.319	20.101	19.871	19.628	19.371	19.100	18.812	18.508	18.187	17.847	17.488	17.108	16.706	16.281	15.833	15.360	15.078	14.552	14.001	13.426	12.829	12.385	11.741	11.083	10.543	 9.854	 9.243	 8.556
35.0	21.844	21.840	21.695	21.553	21.403	21.245	21.079	20.904	20.932	20.739	20.534	20.318	20.089	19.847	19.591	19.320	19.034	18.731	18.410	18.071	17.711	17.331	16.928	16.503	16.053	15.578	15.280	14.751	14.195	13.615	13.010	12.547	11.893	11.224	10.663	 9.961	 9.333	 8.638
