500		359.664	362.017	355.988	355.090	352.749	351.005	349.244	350.380	343.670	343.910	338.825	337.123	333.822	331.053	327.881	324.641	321.246	317.683	313.979	310.169	306.240	302.231	298.106	293.904	289.665	285.517	281.884	280.932
42.0	12.477	17.262	12.411	17.111	16.646	16.500	16.058	15.873	12.230	16.069	15.741	15.559	15.330	15.056	14.862	14.571	14.265	13.943	13.600	13.234	12.920	12.569	12.260	11.994	11.608	11.181	10.581	 9.561
43.0	12.589	17.341	12.513	17.190	16.725	16.583	16.139	15.956	12.327	16.149	15.821	15.640	15.410	15.136	14.935	14.642	14.336	14.012	13.668	13.301	12.979	12.627	12.318	12.047	11.667	11.243	10.658	 9.688
44.0	12.698	17.412	12.613	17.261	16.797	16.657	16.214	16.032	12.421	16.221	15.892	15.714	15.484	15.209	15.000	14.708	14.401	14.076	13.730	13.361	13.033	12.680	12.370	12.096	11.719	11.299	10.727	 9.802
45.0	12.803	17.475	12.710	17.323	16.862	16.724	16.281	16.101	12.512	16.286	15.957	15.781	15.551	15.275	15.060	14.767	14.459	14.133	13.786	13.417	13.081	12.727	12.417	12.139	11.766	11.348	10.789	 9.905
46.0	12.905	17.531	12.804	17.379	16.919	16.784	16.342	16.163	12.600	16.344	16.015	15.840	15.611	15.335	15.113	14.819	14.511	14.184	13.837	13.466	13.124	12.769	12.459	12.176	11.807	11.391	10.843	 9.997
47.0	13.003	17.579	12.894	17.427	16.970	16.837	16.396	16.218	12.684	16.395	16.066	15.893	15.664	15.388	15.160	14.866	14.557	14.230	13.882	13.510	13.162	12.805	12.495	12.209	11.842	11.428	10.890	10.079
48.0	13.097	17.621	12.981	17.468	17.014	16.883	16.444	16.267	12.765	16.439	16.111	15.940	15.711	15.435	15.201	14.907	14.598	14.270	13.921	13.549	13.195	12.837	12.527	12.236	11.873	11.460	10.931	10.152
49.0	13.187	17.657	13.065	17.503	17.053	16.923	16.486	16.310	12.842	16.476	16.149	15.980	15.752	15.476	15.236	14.942	14.633	14.305	13.955	13.582	13.222	12.864	12.553	12.258	11.898	11.486	10.965	10.216
50.0	13.273	17.686	13.145	17.532	17.085	16.956	16.522	16.346	12.915	16.508	16.182	16.014	15.786	15.511	15.266	14.972	14.663	14.334	13.984	13.611	13.245	12.886	12.575	12.276	11.918	11.507	10.994	10.272
51.0	13.355	17.709	13.221	17.554	17.111	16.984	16.553	16.378	12.985	16.534	16.208	16.043	15.816	15.540	15.290	14.996	14.687	14.359	14.008	13.634	13.264	12.904	12.592	12.289	11.933	11.523	11.017	10.320
52.0	13.433	17.727	13.294	17.572	17.132	17.007	16.578	16.404	13.052	16.554	16.230	16.066	15.839	15.564	15.309	15.016	14.707	14.378	14.028	13.653	13.278	12.917	12.605	12.298	11.944	11.534	11.034	10.360
53.0	13.507	17.740	13.363	17.584	17.148	17.024	16.598	16.424	13.115	16.568	16.246	16.084	15.858	15.583	15.324	15.030	14.721	14.393	14.042	13.668	13.287	12.926	12.613	12.302	11.950	11.541	11.046	10.394
54.0	13.578	17.747	13.429	17.591	17.160	17.036	16.613	16.440	13.174	16.578	16.257	16.097	15.871	15.597	15.333	15.040	14.731	14.403	14.052	13.677	13.292	12.931	12.618	12.303	11.952	11.543	11.054	10.422
55.0	13.644	17.751	13.491	17.593	17.166	17.044	16.624	16.451	13.230	16.583	16.264	16.105	15.880	15.606	15.338	15.045	14.737	14.409	14.058	13.683	13.294	12.931	12.618	12.299	11.950	11.540	11.056	10.443
56.0	13.707	17.749	13.550	17.591	17.169	17.047	16.630	16.458	13.282	16.584	16.266	16.108	15.884	15.611	15.339	15.047	14.738	14.410	14.060	13.684	13.291	12.928	12.614	12.291	11.943	11.534	11.054	10.459
57.0	13.766	17.744	13.606	17.585	17.167	17.046	16.633	16.461	13.331	16.580	16.264	16.107	15.884	15.611	15.336	15.044	14.736	14.408	14.057	13.682	13.284	12.921	12.606	12.280	11.933	11.523	11.047	10.468
58.0	13.821	17.735	13.658	17.575	17.161	17.041	16.631	16.459	13.376	16.572	16.257	16.102	15.880	15.608	15.329	15.037	14.729	14.401	14.051	13.676	13.274	12.910	12.595	12.265	11.919	11.508	11.036	10.473
59.0	13.873	17.723	13.706	17.561	17.152	17.032	16.626	16.454	13.418	16.560	16.248	16.094	15.873	15.600	15.318	15.027	14.719	14.391	14.041	13.666	13.261	12.896	12.580	12.246	11.901	11.490	11.021	10.472
60.0	13.921	17.707	13.752	17.544	17.139	17.020	16.617	16.445	13.457	16.545	16.234	16.081	15.861	15.589	15.304	15.013	14.706	14.378	14.027	13.652	13.244	12.879	12.562	12.224	11.880	11.468	11.002	10.467
61.0	13.966	17.688	13.794	17.524	17.124	17.005	16.605	16.433	13.493	16.526	16.218	16.066	15.846	15.574	15.287	14.995	14.689	14.361	14.011	13.636	13.224	12.858	12.540	12.199	11.855	11.442	10.980	10.457
